Model Year,Make,%GT Count of Make
2024,ALFA ROMEO,0.01%
2016,AUDI,0.13%
2017,AUDI,0.12%
2018,AUDI,0.11%
2019,AUDI,0.31%
2020,AUDI,0.15%
2021,AUDI,0.36%
2022,AUDI,0.39%
2023,AUDI,0.39%
2024,AUDI,0.10%
2011,AZURE DYNAMICS,0.00%
2012,AZURE DYNAMICS,0.00%
2021,BENTLEY,0.00%
2022,BENTLEY,0.00%
2014,BMW,0.28%
2015,BMW,0.25%
2016,BMW,0.24%
2017,BMW,0.42%
2018,BMW,0.46%
2019,BMW,0.20%
2020,BMW,0.10%
2021,BMW,0.41%
2022,BMW,0.57%
2023,BMW,1.06%
2024,BMW,0.31%
2014,CADILLAC,0.03%
2016,CADILLAC,0.01%
2017,CADILLAC,0.00%
2018,CADILLAC,0.01%
2023,CADILLAC,0.03%
2024,CADILLAC,0.04%
1997,CHEVROLET,0.00%
2011,CHEVROLET,0.05%
2012,CHEVROLET,0.31%
2013,CHEVROLET,0.49%
2014,CHEVROLET,0.45%
2015,CHEVROLET,0.30%
2016,CHEVROLET,0.19%
2017,CHEVROLET,1.75%
2018,CHEVROLET,0.77%
2019,CHEVROLET,0.70%
2020,CHEVROLET,0.66%
2021,CHEVROLET,0.23%
2022,CHEVROLET,0.54%
2023,CHEVROLET,1.43%
2017,CHRYSLER,0.06%
2018,CHRYSLER,0.35%
2019,CHRYSLER,0.07%
2020,CHRYSLER,0.18%
2021,CHRYSLER,0.32%
2022,CHRYSLER,0.24%
2023,CHRYSLER,0.54%
2024,CHRYSLER,0.03%
2024,DODGE,0.00%
2013,FIAT,0.07%
2014,FIAT,0.06%
2015,FIAT,0.15%
2016,FIAT,0.09%
2017,FIAT,0.10%
2018,FIAT,0.03%
2019,FIAT,0.01%
2012,FISKER,0.01%
2023,FISKER,0.00%
1998,FORD,0.00%
1999,FORD,0.00%
2000,FORD,0.01%
2012,FORD,0.01%
2013,FORD,0.38%
2014,FORD,0.37%
2015,FORD,0.33%
2016,FORD,0.48%
2017,FORD,0.41%
2018,FORD,0.10%
2019,FORD,0.09%
2020,FORD,0.04%
2021,FORD,0.57%
2022,FORD,1.10%
2023,FORD,1.12%
2023,GENESIS,0.08%
2024,GENESIS,0.00%
2014,HONDA,0.01%
2018,HONDA,0.39%
2019,HONDA,0.06%
2020,HONDA,0.05%
2021,HONDA,0.01%
2016,HYUNDAI,0.03%
2017,HYUNDAI,0.03%
2018,HYUNDAI,0.01%
2019,HYUNDAI,0.08%
2020,HYUNDAI,0.15%
2021,HYUNDAI,0.12%
2022,HYUNDAI,0.40%
2023,HYUNDAI,1.48%
2024,HYUNDAI,0.01%
2019,JAGUAR,0.08%
2020,JAGUAR,0.04%
2022,JAGUAR,0.01%
2023,JAGUAR,0.00%
2024,JAGUAR,0.00%
2021,JEEP,0.40%
2022,JEEP,0.48%
2023,JEEP,1.24%
2024,JEEP,0.20%
2015,KIA,0.01%
2016,KIA,0.25%
2017,KIA,0.13%
2018,KIA,0.19%
2019,KIA,0.42%
2020,KIA,0.33%
2021,KIA,0.05%
2022,KIA,1.30%
2023,KIA,1.54%
2024,KIA,0.02%
2020,LAND ROVER,0.02%
2021,LAND ROVER,0.01%
2023,LAND ROVER,0.00%
2022,LEXUS,0.03%
2023,LEXUS,0.07%
2024,LEXUS,0.03%
2020,LINCOLN,0.02%
2021,LINCOLN,0.03%
2022,LINCOLN,0.07%
2023,LINCOLN,0.03%
2022,LUCID,0.06%
2023,LUCID,0.07%
2024,MAZDA,0.17%
2014,MERCEDES-BENZ,0.02%
2015,MERCEDES-BENZ,0.01%
2016,MERCEDES-BENZ,0.02%
2017,MERCEDES-BENZ,0.03%
2018,MERCEDES-BENZ,0.03%
2019,MERCEDES-BENZ,0.09%
2020,MERCEDES-BENZ,0.02%
2022,MERCEDES-BENZ,0.09%
2023,MERCEDES-BENZ,0.43%
2024,MERCEDES-BENZ,0.00%
2018,MINI,0.04%
2019,MINI,0.06%
2020,MINI,0.00%
2021,MINI,0.09%
2022,MINI,0.15%
2023,MINI,0.14%
2024,MINI,0.04%
2012,MITSUBISHI,0.03%
2014,MITSUBISHI,0.01%
2016,MITSUBISHI,0.01%
2017,MITSUBISHI,0.00%
2018,MITSUBISHI,0.12%
2019,MITSUBISHI,0.10%
2020,MITSUBISHI,0.06%
2021,MITSUBISHI,0.00%
2022,MITSUBISHI,0.06%
2023,MITSUBISHI,0.19%
2011,NISSAN,0.43%
2012,NISSAN,0.36%
2013,NISSAN,1.20%
2014,NISSAN,0.41%
2015,NISSAN,1.14%
2016,NISSAN,0.71%
2017,NISSAN,0.58%
2018,NISSAN,0.76%
2019,NISSAN,0.87%
2020,NISSAN,0.43%
2021,NISSAN,0.41%
2022,NISSAN,0.60%
2023,NISSAN,0.74%
2024,NISSAN,0.01%
2021,POLESTAR,0.08%
2022,POLESTAR,0.24%
2023,POLESTAR,0.16%
2024,POLESTAR,0.02%
2014,PORSCHE,0.01%
2015,PORSCHE,0.02%
2016,PORSCHE,0.05%
2017,PORSCHE,0.04%
2018,PORSCHE,0.05%
2019,PORSCHE,0.05%
2020,PORSCHE,0.10%
2021,PORSCHE,0.11%
2022,PORSCHE,0.14%
2023,PORSCHE,0.10%
2024,PORSCHE,0.01%
2022,RIVIAN,0.79%
2023,RIVIAN,1.05%
2013,SMART,0.02%
2014,SMART,0.04%
2015,SMART,0.04%
2016,SMART,0.02%
2017,SMART,0.02%
2018,SMART,0.03%
2019,SMART,0.01%
2019,SUBARU,0.04%
2023,SUBARU,0.39%
2008,TESLA,0.01%
2010,TESLA,0.01%
2011,TESLA,0.00%
2012,TESLA,0.08%
2013,TESLA,0.48%
2014,TESLA,0.42%
2015,TESLA,0.68%
2016,TESLA,1.02%
2017,TESLA,1.03%
2018,TESLA,4.95%
2019,TESLA,2.92%
2020,TESLA,4.44%
2021,TESLA,6.86%
2022,TESLA,8.66%
2023,TESLA,13.87%
2011,TH!NK,0.00%
2002,TOYOTA,0.00%
2003,TOYOTA,0.00%
2012,TOYOTA,0.24%
2013,TOYOTA,0.19%
2014,TOYOTA,0.14%
2015,TOYOTA,0.06%
2017,TOYOTA,0.57%
2018,TOYOTA,0.42%
2019,TOYOTA,0.13%
2020,TOYOTA,0.22%
2021,TOYOTA,0.66%
2022,TOYOTA,0.36%
2023,TOYOTA,0.48%
2015,VOLKSWAGEN,0.08%
2016,VOLKSWAGEN,0.20%
2017,VOLKSWAGEN,0.04%
2018,VOLKSWAGEN,0.02%
2019,VOLKSWAGEN,0.33%
2021,VOLKSWAGEN,0.62%
2022,VOLKSWAGEN,0.45%
2023,VOLKSWAGEN,1.04%
2016,VOLVO,0.07%
2017,VOLVO,0.07%
2018,VOLVO,0.14%
2019,VOLVO,0.12%
2020,VOLVO,0.13%
2021,VOLVO,0.41%
2022,VOLVO,0.63%
2023,VOLVO,0.70%
2024,VOLVO,0.08%
2010,WHEEGO ELECTRIC CARS,0.00%
